numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,6,2018-06-25 00:00:00+00:00,GIACOBO,PR,PR,LOCAÇÃO OU FRETAMENTO DE AERONAVES,75543611000185,HELISUL TAXI AEREO LTDA,13400.00,0.00,13400.00
2018,6,2018-06-11 00:00:00+00:00,ÁTILA LIRA,PSB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,7240.00,0.00,7240.00
2018,6,2018-06-08 00:00:00+00:00,JUTAHY JUNIOR,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,7500.00,0.00,7500.00
2018,6,2018-06-08 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,20000.00,0.00,20000.00
2018,6,2018-06-04 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02324940000161,MANAUS AEROTAXI PARTICIPACOES LTDA,7500.00,0.00,7500.00
2018,5,2018-06-04 00:00:00+00:00,JUTAHY JUNIOR,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,10000.00,0.00,10000.00
2018,6,2018-06-03 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,10000.00,0.00,10000.00
2018,6,2018-06-02 00:00:00+00:00,HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,15309149000124,BRABO TAXI AEREO LTDA,4000.00,0.00,4000.00
2018,6,2018-06-01 00:00:00+00:00,HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,15309149000124,BRABO TAXI AEREO LTDA,4000.00,0.00,4000.00
2018,5,2018-05-30 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04702400000108,APOLO TAXI AEREO LTDA,8400.00,0.00,8400.00
2018,5,2018-05-30 00:00:00+00:00,THIAGO PEIXOTO,PSD,GO,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02088938000130,SETE TAXI AEREO LTDA,6400.00,0.00,6400.00
2018,5,2018-05-29 00:00:00+00:00,THIAGO PEIXOTO,PSD,GO,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02088938000130,SETE TAXI AEREO LTDA,8500.00,0.00,8500.00
2018,5,2018-05-28 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02324940000161,MANAUS AEROTAXI PARTICIPACOES LTDA,6000.00,0.00,6000.00
2018,5,2018-05-28 00:00:00+00:00,ARNALDO JORDY,PPS,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,05897794000151,STILUS TAXI AEREO LTDA,7000.00,0.00,7000.00
